brand,model,year,median_price,count
AUDI,A4,1998.0,68000.0,1
AUDI,A4,2020.0,1690000.0,1
AUDI,A5,2019.0,1190000.0,1
AUDI,A5,2020.0,1398000.0,1
AUDI,Q5,2012.0,438000.0,1
AUDI,Q7,2017.0,1599000.0,1
AUDI,RS4,2015.0,4350000.0,1
AUDI,TT,2016.0,12990000.0,1
AUDI,TT,2022.0,2190000.0,1
AUDI,TT,2023.0,3790000.0,1
AUDI,UNKNOWN,2010.0,389000.0,1
BENTLEY,FLYING SPUR,2022.0,11890000.0,1
BENZ,A-CLASS,2015.0,477000.0,1
BENZ,A-CLASS,2020.0,999000.0,1
BENZ,A-CLASS,2022.0,1390000.0,1
BENZ,A-CLASS,2023.0,1590000.0,1
BENZ,B-CLASS,2009.0,399000.0,1
BENZ,B-CLASS,2013.0,599000.0,1
BENZ,C-CLASS,2006.0,229000.0,1
BENZ,C-CLASS,2007.0,199000.0,1
BENZ,C-CLASS,2011.0,328000.0,2
BENZ,C-CLASS,2012.0,339000.0,1
BENZ,C-CLASS,2013.0,449000.0,4
BENZ,C-CLASS,2015.0,789000.0,1
BENZ,C-CLASS,2016.0,628000.0,3
BENZ,C-CLASS,2017.0,927000.0,4
BENZ,C-CLASS,2018.0,724500.0,2
BENZ,C-CLASS,2019.0,1425000.0,3
BENZ,C-CLASS,2020.0,1590000.0,3
BENZ,C-CLASS,2021.0,1370000.0,2
BENZ,C-CLASS,2023.0,1990000.0,1
BENZ,CLA-CLASS,2017.0,744500.0,2
BENZ,CLS-CLASS,2013.0,729000.0,2
BENZ,CLS-CLASS,2016.0,1488000.0,1
BENZ,CLS-CLASS,2022.0,3500000.0,1
BENZ,E-CLASS,1999.0,135000.0,1
BENZ,E-CLASS,2005.0,260000.0,2
BENZ,E-CLASS,2006.0,349000.0,1
BENZ,E-CLASS,2008.0,278000.0,1
BENZ,E-CLASS,2010.0,584000.0,4
BENZ,E-CLASS,2011.0,629000.0,5
BENZ,E-CLASS,2012.0,689000.0,3
BENZ,E-CLASS,2013.0,558000.0,1
BENZ,E-CLASS,2014.0,769000.0,5
BENZ,E-CLASS,2015.0,549000.0,3
BENZ,E-CLASS,2016.0,749000.0,2
BENZ,E-CLASS,2017.0,962000.0,2
BENZ,E-CLASS,2018.0,990000.0,3
BENZ,E-CLASS,2019.0,899000.0,1
BENZ,E-CLASS,2020.0,1190000.0,2
BENZ,E-CLASS,2021.0,1590000.0,1
BENZ,E-CLASS,2024.0,2299000.0,1
BENZ,EQS-CLASS,2023.0,3240000.0,2
BENZ,GLA-CLASS,2014.0,575000.0,1
BENZ,GLA-CLASS,2015.0,548000.0,1
BENZ,GLA-CLASS,2018.0,859000.0,2
BENZ,GLA-CLASS,2019.0,859000.0,2
BENZ,GLA-CLASS,2020.0,839000.0,2
BENZ,GLA-CLASS,2021.0,685000.0,2
BENZ,GLC-CLASS,2019.0,1550000.0,3
BENZ,GLC-CLASS,2022.0,2090000.0,1
BENZ,GLC-CLASS,2024.0,2990000.0,1
BENZ,GLE-CLASS,2022.0,2398000.0,2
BENZ,ML-CLASS,2004.0,329000.0,1
BENZ,S-CLASS,1997.0,188000.0,1
BENZ,S-CLASS,2007.0,677000.0,2
BENZ,S-CLASS,2014.0,890000.0,1
BENZ,S-CLASS,2015.0,1299000.0,1
BENZ,S-CLASS,2018.0,1790000.0,1
BENZ,S-CLASS,2024.0,9290000.0,1
BENZ,S-CLASS,2025.0,9290000.0,1
BENZ,SLK-CLASS,2008.0,728000.0,1
BENZ,SPRINTER,2017.0,2090000.0,2
BENZ,VITO,2007.0,359000.0,1
BENZ,VITO,2024.0,2590000.0,1
BMW,116 I,2013.0,337500.0,1
BMW,116 I,2014.0,355500.0,3
BMW,116 I,2015.0,381250.0,2
BMW,118 I,2015.0,431250.0,2
BMW,118 I,2016.0,461000.0,2
BMW,118 I,2017.0,493500.0,1
BMW,118 I,2018.0,558250.0,2
BMW,118 I,2019.0,623500.0,1
BMW,118 I,2020.0,827000.0,1
BMW,120D,2009.0,428500.0,1
BMW,120D,2010.0,448500.0,1
BMW,218 I,2015.0,381250.0,2
BMW,218 I,2016.0,418250.0,2
BMW,218 I,2017.0,447750.0,2
BMW,218 I,2020.0,859500.0,1
BMW,218CI,2015.0,533500.0,1
BMW,218CI,2016.0,604000.0,1
BMW,218CI,2017.0,673500.0,1
BMW,218I,2018.0,4590000.0,1
BMW,220 I,2014.0,633750.0,2
BMW,220 I,2015.0,711750.0,2
BMW,220 I,2020.0,924500.0,1
BMW,220 I,2021.0,1007000.0,2
BMW,220 I,2022.0,1088500.0,2
BMW,220I,2022.0,10990000.0,1
BMW,225 I,2014.0,633750.0,2
BMW,225 I,2015.0,711750.0,2
BMW,225 I,2020.0,924500.0,1
BMW,225 I,2021.0,1007000.0,2
BMW,225 I,2022.0,1088500.0,2
BMW,318 I,2007.0,285000.0,1
BMW,318 I,2008.0,291250.0,2
BMW,318 I,2009.0,222750.0,2
BMW,318 I,2010.0,210000.0,1
BMW,318 I,2011.0,254000.0,1
BMW,318 I,2012.0,264500.0,1
BMW,320 D,2015.0,565000.0,5
BMW,320 D,2016.0,653500.0,5
BMW,320 D,2017.0,755500.0,5
BMW,320 D,2018.0,824000.0,5
BMW,320 D,2019.0,902500.0,5
BMW,320 D,2020.0,1031500.0,5
BMW,320 D,2021.0,1167750.0,2
BMW,320 D,2022.0,1270500.0,1
BMW,320 I,2010.0,246500.0,1
BMW,320 I,2011.0,267000.0,1
BMW,320 I,2012.0,350500.0,4
BMW,320 I,2013.0,370500.0,3
BMW,320 I,2014.0,410500.0,3
BMW,320 I,2015.0,452000.0,5
BMW,320 I,2016.0,501500.0,3
BMW,320 I,2017.0,535000.0,2
BMW,320CI,2008.0,832250.0,2
